system:index,01VIIRS,02VIIRS,03VIIRS,04VIIRS,05VIIRS,06VIIRS,07VIIRS,08VIIRS,09VIIRS,10VIIRS,11VIIRS,12VIIRS,system_ind,.geo
0000315e5abc8445b979,-0.018734774671644364,0.010568839253569957,0.15317566692829132,0.16681327133677726,0.2757342018841699,0.15354700883229574,0.0,0.1197400689125061,0.2315100991405179,0.29466855690685867,0.16424071484646838,0.07036002598959054,15660,
00001c7b88cb9e892d4a,0.01887747366291093,0.010992743782464814,0.16486057827179443,0.18214846689754893,0.31729026222131423,0.1702757030725479,0.10132963723891418,0.0920468345284462,0.25130962517208716,0.35340622067451477,0.2436769995192752,0.12859351114288484,15659,
00005682d8eec1367c26,-0.0050768405199050895,0.02528534922748804,0.12629047079413544,0.15754279873304666,0.24388017132878304,0.1493908017873764,2.094517022519129E-5,0.11235008691145286,0.21601040661334991,0.33194505462834173,0.23043568173587073,0.1294112143454943,15482,
0000dfa9ac38967254e7,0.007142109922161511,0.026327826824112267,0.14709445787882952,0.18463252071547603,0.27405688677871576,0.15950272977352142,0.0,0.11345718552668889,0.19364344328641891,0.32131340106328327,0.1851252019405365,0.09288746118545532,15483,
0000782f310aba45b9e5,0.04866972680436634,0.06736778812023557,0.15508638833721625,0.1760975139497391,0.2598363317555548,0.1541933665672938,3.6059632090337384E-4,0.12772371511960373,0.1965378150343895,0.3012374506965991,0.21065472065020138,0.1156936064362526,15306,
0000c4a8a5636c76facd,0.02149420479933421,0.05671045556664467,0.1327980011701584,0.16975108197652627,0.2550319966630659,0.16614818914657817,0.0,0.12276875002127068,0.1929285788334672,0.3147737172268729,0.23219092048652426,0.09972322452311178,15305,
00007c7c0e1f495c81ab,0.05102079471084638,0.045232798349039226,0.14185371498266855,0.16275866075017265,0.24335194627443948,0.14275549553346412,-0.08926259885941232,0.09409268200397491,0.18889635785739178,0.2946092337036062,0.17394252493977547,0.06267444789409637,15129,
0000d0cf9c245d7fb266,0.04516115072997695,0.07993969286071108,0.1895481294466355,0.19346171027670309,0.2679425340114868,0.17381927720471924,0.10693010687828064,0.15967893123701496,0.22796694910692006,0.3447055233376367,0.22248027761942352,0.0896684117615223,15128,
000020f4284d026c36e9,0.08121303841471672,0.14547360450194635,0.23870104182685253,0.23744525206079173,0.29112592339515686,0.2048577123035596,0.10358059033751488,0.20832729635546016,0.22511000922760166,0.40384429693222046,0.27505066990852356,0.1433667190154726,15127,
0000a6055f2f36ada05e,0.08832931146025658,0.11031704396009445,0.20110754176992995,0.2792578463583656,0.28312694180511433,0.22281464315981034,0.10381220281124115,0.17223964652325632,0.2536969981023243,0.45076883107545757,0.35804644227027893,0.17935261356907317,15304,
0000edaa6d89f0fbc426,0.040577929466962814,0.07590579684392065,0.15120285749435425,0.21616966791780462,0.29888618530173866,0.1741739166303351,0.17874375939699116,0.1773677666982015,0.25978719342112033,0.3866429477930069,0.2550185668698461,0.09930732167630155,15303,
00000eaebe4681f5d678,0.10880203545093536,0.16626376149227814,0.2536661135555752,0.2891898143736893,0.35616110325583566,0.2861971374963145,0.2694738635208022,0.2529232259485658,0.29138480245171694,0.46176400780677795,0.33532558615324676,0.16363134483496347,15126,
000063b881b1152c08f3,0.18409649473134715,0.22383369505405426,0.3018773956047314,0.28560746624040223,0.34426343526159014,0.2696242260667477,0.1850956380367279,0.2215802819063301,0.2831866294145584,0.47490186989307404,0.3366896850722177,0.194361751442306,14950,
0000bbbc63a71076cf70,0.31675605822050157,0.33659563962384187,0.4208932905778092,0.382978644452939,0.4855788116417995,0.39548699674653076,0.272334661830514,0.27889719317193895,0.41002941734289833,0.6536382046413138,0.47360649487425827,0.4026239894963557,14949,
0000b4dff8d0baf0dc2e,0.19515623014706834,0.295518468717734,0.42724431572007204,0.2853919293569482,0.4518876535011355,0.2809120514222114,0.22101946893008614,0.28645306021107525,0.4131054658228191,0.5862194569985931,0.43264633041371797,0.18041651284013702,14772,
0000b9db434fe097b1ed,0.2091999401091995,0.26429086923599243,0.33229534773931013,0.31661745309829714,0.38907413091111964,0.3178851008415222,0.239194143563509,0.3094783127307892,0.36904828031461007,0.5230758786201477,0.3969922959804535,0.2256697960995009,14773,
0000a32476b7c41f10f1,0.10602808152807168,0.16238825845076899,0.24762610097726187,0.2617862507930168,0.3185730427503586,0.23705409478009562,0.08215869273964047,0.20137949287891388,0.2831398993730545,0.40977315324120944,0.3004289221439402,0.1475531905889511,14774,
000067c3cfb4eb31391e,0.040799191064923725,0.10394855178028631,0.19859952598324085,0.21315773805892502,0.2663871149222056,0.20487495006751813,0.05642494385441144,0.18996384914450065,0.2435954511165619,0.3801520194771678,0.2561310232092219,0.15249754940418112,14951,
0000206e6374f4289e95,0.06947257663622597,0.08827696800205453,0.1763178954521815,0.18230916984616646,0.2315353254477183,0.15213784518300083,0.15173837542533875,0.13069833639531842,0.2166188471019268,0.3554590869652455,0.27591438789795153,0.09896373197104817,14952,
00000cc1bb22579d1909,0.07560188003948756,0.10008063586600592,0.20515942573547363,0.2044685929345443,0.2611205776532491,0.18307814747095108,0.11926763504743576,0.17711945623159409,0.24463605363506918,0.3431857228279114,0.2465333491563797,0.14417174458503723,14775,
0000dff76c4f7316f006,0.18158223628997802,0.18238678877783376,0.2974138557910919,0.2687878023300852,0.35428689420223236,0.2396697998046875,0.21548736095428467,0.19397919376691183,0.30938978493213654,0.4259409892452138,0.31761250893274945,0.19201326370239258,14598,
00009f8ba7ae7ce8494f,0.20619479142496935,0.2781665027141571,0.3511812218932095,0.35414453347524005,0.3863632738009676,0.27646085387700564,0.23911625146865845,0.24041809141635895,0.37828414142131805,0.5250503063201905,0.45661957065264386,0.2615501982272918,14597,
000077d8e9af4c0c798e,0.08801380544900894,0.14678927958011628,0.26371408998966217,0.23203798430239764,0.3470735549926758,0.23572154343128204,0.053094530167236136,0.20721642673015594,0.32684682806332904,0.40844925880942295,0.23878376226552023,0.10725746552149455,14596,
000073c3fa0b32fa54c1,0.20694970512805982,0.2766847156960031,0.3922069353716714,0.3396639296973961,0.45138509571552277,0.3050820529460907,0.2898773729801178,0.2477450706064701,0.36068726504264875,0.5293768048286438,0.4264250957328855,0.2528030957494463,14420,
