system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,system_ind,.geo
000014bbb16e267f0f76,0.10119999945163727,0.3061999976634979,0.302700012922287,0.11219999939203262,0.17350000143051147,0.1736000031232834,0.5855000019073486,0.3610999882221222,0.2872999906539917,8614,
0000f664a3c54c6fe018,0.08410000056028366,0.3066999912261963,0.30329999327659607,0.10909999907016754,0.17739999294281006,0.17339999973773956,0.5785999894142151,0.32710000872612,0.22990000247955322,8791,
00009b69354ded7f3603,0.09510000050067902,0.30559998750686646,0.3028999865055084,0.10080000013113022,0.16359999775886536,0.17589999735355377,0.5979999899864197,0.37389999628067017,0.27970001101493835,8792,
0000da5e642b988e22fa,0.10270000249147415,0.30730000138282776,0.30390000343322754,0.11720000207424164,0.1655000001192093,0.16200000047683716,0.6050999760627747,0.3675000071525574,0.23819999396800995,8790,
000034ce7ced60893e58,0.08309999853372574,0.3077000081539154,0.303600013256073,0.09570000320672989,0.15700000524520874,0.16349999606609344,0.5942000150680542,0.3327000141143799,0.24400000274181366,8613,
0000da5c68c2e499c799,0.11890000104904175,0.3084999918937683,0.3050000071525574,0.1273999959230423,0.1859000027179718,0.19380000233650208,0.5900999903678894,0.38929998874664307,0.2969000041484833,8612,
00001d5cd95522c9f456,0.1257999986410141,0.3077000081539154,0.30399999022483826,0.1395999938249588,0.20389999449253082,0.19609999656677246,0.6898000240325928,0.35499998927116394,0.2540000081062317,8789,
000080d2c82b835126b8,0.13570000231266022,0.30709999799728394,0.303600013256073,0.14869999885559082,0.20829999446868896,0.2037000060081482,0.666100025177002,0.396699994802475,0.305400013923645,8788,
0000700ae32e6e677cbd,0.10649999976158142,0.30880001187324524,0.3050999939441681,0.11729999631643295,0.19499999284744263,0.20440000295639038,0.6352999806404114,0.37209999561309814,0.2782000005245209,8787,
00001c174cdb9bf38548,0.10909999907016754,0.30869999527931213,0.3050999939441681,0.13009999692440033,0.19609999656677246,0.17430000007152557,0.597000002861023,0.36570000648498535,0.27880001068115234,8610,
0000b4046a6c4fa2a643,0.10859999805688858,0.3075000047683716,0.3043999969959259,0.13779999315738678,0.16840000450611115,0.1662999987602234,0.6504999995231628,0.3732999861240387,0.29510000348091125,8611,
0000bb407b338a254a93,0.12800000607967377,0.30799999833106995,0.3043000102043152,0.14090000092983246,0.2071000039577484,0.2198999971151352,0.6105999946594238,0.3874000012874603,0.2711000144481659,8435,
00009ea73520b40bd24d,0.10649999976158142,0.3073999881744385,0.30390000343322754,0.11999999731779099,0.1882999986410141,0.2078000009059906,0.6420000195503235,0.3880000114440918,0.259799987077713,8434,
000074b28ba100a2ba25,0.1550000011920929,0.3084000051021576,0.3043999969959259,0.1729000061750412,0.23190000653266907,0.24130000174045563,0.6021000146865845,0.4083999991416931,0.2849000096321106,8433,
00001235c8fc0242c323,0.14749999344348907,0.3068999946117401,0.303600013256073,0.1623000055551529,0.18129999935626984,0.1817999929189682,0.5891000032424927,0.3456000089645386,0.2484000027179718,8256,
