system:index,01VIIRS,02VIIRS,03VIIRS,04VIIRS,05VIIRS,06VIIRS,07VIIRS,08VIIRS,09VIIRS,10VIIRS,11VIIRS,12VIIRS,system_ind,.geo
0000cd780b45d548e7bf,-0.014824913814663887,-0.04468779265880585,0.13792289793491364,0.20320846140384674,0.2515411972999573,0.23359255492687225,0.061234623193740845,0.09657654911279678,0.21865300834178925,0.35679900646209717,0.33794453740119934,0.33310484886169434,22030,
00007d42332bcb706089,0.025772636756300926,0.002278828527778387,0.2142409086227417,0.3155670464038849,0.43302279710769653,0.31280267238616943,0.15464423596858978,0.1282818466424942,0.3154033422470093,0.5619526505470276,0.4946403503417969,0.46064186096191406,22031,
0000972587a46e83f6b5,0.15772831439971924,0.012488211505115032,0.17194242775440216,0.32452502846717834,0.39558228850364685,0.3245668411254883,0.23719145357608795,0.13785724341869354,0.30514827370643616,0.4989249110221863,0.46688827872276306,0.4308551549911499,22208,
00003dd264dc8839daa3,0.2000853717327118,0.3343680202960968,0.36374881863594055,0.2696206569671631,0.41448110342025757,0.2717019319534302,0.10934843868017197,0.18670491874217987,0.3611908257007599,0.57017582654953,0.5539778470993042,0.5131975412368774,22209,
0000317848866d6a839d,0.05894537270069122,-0.03669656440615654,0.09673463553190231,0.2031327784061432,0.22336341440677643,0.204928457736969,0.10203461349010468,0.10290180891752243,0.19586053490638733,0.41171321272850037,0.3305937349796295,0.14067740738391876,22384,
0000a5545897e8321fce,0.08375509083271027,-0.01691061444580555,0.1457078456878662,0.3199508786201477,0.30439284443855286,0.2832035422325134,0.13519226014614105,0.0964413434267044,0.2881271243095398,0.5380192399024963,0.4602949321269989,0.387114018201828,22207,
0000c0c39fc074cd2973,0.07041733711957932,-0.06443808972835541,0.10255395621061325,0.2821647822856903,0.24819421768188477,0.1950603723526001,0.11206457763910294,0.10450275987386703,0.23926885426044464,0.5075316429138184,0.4309850037097931,0.23793989419937134,22383,
0000ca741f0d1f3dc35c,0.028874006122350693,-0.054313212633132935,0.08899465948343277,0.296501487493515,0.28356483578681946,0.18189655244350433,0.08928163349628448,0.09660853445529938,0.19983600080013275,0.4595382511615753,0.3520740568637848,0.40174317359924316,22206,
0000bf8b22ba1e638fab,0.06630563735961914,-0.054313212633132935,0.10712310671806335,0.16667355597019196,0.29411581158638,0.12964650988578796,0.025238003581762314,0.0822942703962326,0.1462363749742508,0.41211751103401184,0.2603817880153656,0.3224848210811615,22205,
0000105a9249b97aa5c6,0.20361366868019104,5.689616082236171E-4,0.201337993144989,0.3076591193675995,0.3043018579483032,0.27650830149650574,0.07405619323253632,0.16221415996551514,0.2252991497516632,0.5512782335281372,0.47500312328338623,0.323832243680954,22028,
0000bb0f691fde2278ad,-0.06238442286849022,-0.07544710487127304,0.09377425909042358,0.1698354184627533,0.23388385772705078,0.21409039199352264,0.021503405645489693,0.01832624152302742,0.1869189441204071,0.35679900646209717,0.3226760923862457,0.3053390681743622,22029,
00005d90b28676ebbdb9,-0.04708902910351753,-0.08312639594078064,0.1145709976553917,0.1357620358467102,0.2887534201145172,0.1426399201154709,-0.02158883400261402,0.06945203244686127,0.15323008596897125,0.2416885793209076,0.17199555039405823,0.0,21852,
