system:index,01VIIRS,02VIIRS,03VIIRS,04VIIRS,05VIIRS,06VIIRS,07VIIRS,08VIIRS,09VIIRS,10VIIRS,11VIIRS,12VIIRS,system_ind,.geo
0000f2dcb192a736bf29,0.53845172233818,0.7446329792340597,0.6942068338394165,0.7898218584912164,0.7244921811791353,0.4298063814640045,0.32514218986034393,0.27807006929531575,0.42054714262485504,1.08143707247805,1.1485867500305176,0.853494385878245,10527,
000011639902de8a22a5,1.0460073832640515,0.9250474671522776,0.8844677209854126,0.9279100542111248,0.7134946783383688,0.6152851462364197,0.39587519144596056,0.3514318733664431,0.5246341648599271,1.0472548469029008,1.284468753521259,1.3638911247253418,10174,
0000bd5d0143a4c24359,0.8202831745147705,0.7296813726425171,0.8023431497615773,0.8501890808757808,0.6663842499256134,0.5351910928021307,0.3067101687192917,0.3003184497356415,0.46339308222134906,0.9650055569375194,1.2393169403076172,1.1837702989578247,10351,
0000fc4879e3f3d2c53a,0.44714335600535077,0.7677514875723309,0.9281816462747069,0.9883129207555912,0.8061980605125427,0.4771937131881714,0.4321662962436676,0.3226145319948511,0.5551374197006226,1.2368633094735033,1.3593360986802485,0.9801967728447605,10528,
00007848db286ab37267,0.24606428295373917,0.20747563739617667,0.3008818163571181,0.3475244353924479,0.4081403315067291,0.29915295715455886,0.23583710938692093,0.21545207500457764,0.3418463096022606,0.5137544870376587,0.4589546024799347,0.3932794498545783,10352,
0000fce449979e10e995,0.12271332336468907,0.1390578933535427,0.28348755836486816,0.280420418870583,0.3409306928515434,0.22532084281893744,0.20565421879291534,0.18619520247967775,0.3129207342863083,0.4730360805988312,0.3919226920259172,0.27806174904108044,10529,
0000ab236970dff8f2d3,1.018931646679723,0.8979971839173492,0.8549485951662064,1.078720490137736,0.6778310581321328,0.6027804017066956,0.5420143008232117,0.39227353036403656,0.5237958629314715,1.078794728504138,1.429409921169281,1.208988693573617,10175,
00004b7c8fdb52990989,1.135010236314594,1.0221148360470484,0.8486007041176835,1.0639328956604004,0.6341462398784747,0.6995331346988678,0.4008877301194952,0.4029109627008438,0.486743136566488,1.085048606430275,1.383408546447754,1.23197001802723,9998,
0000b923ac5b1fff4542,1.1608782609303792,0.9398956998893759,0.7759099006652832,1.0735924243927002,0.7559601400579726,0.5714842677116394,0.35596143227556476,0.41749219596385956,0.4859200119972229,0.9882991015911102,1.4177581885435284,1.4958511590957642,9997,
00001e5ebb18e2f88c8f,0.9312625661276388,0.6670216023921967,0.6910268465677897,0.7035538554191589,0.5880997180938721,0.5446383469391868,0.2601971947373705,0.3345797244478894,0.40321411937475204,0.9302647113800049,0.941976010799408,0.7657175064086914,9822,
00007eabf3b8cfc7dca3,0.7134730219841003,0.5180263630878764,0.5319806039333344,0.666511207818985,0.49498170614242554,0.43933364748954773,0.3177005648612976,0.35212578818708684,0.3949590160989434,0.8033908307552338,0.972982342534222,0.7524601221084595,9999,
000042af5b0687818f5e,0.4482917198783731,0.3931989377948071,0.42000835233241174,0.5901350811992525,0.47545229167532005,0.3489929536978404,0.3563920080661774,0.2830420434474945,0.4301651753302292,0.7863168222117799,0.7962934586197831,0.5853414237499237,9823,
00002f928dcae966c7fd,0.6761081218719482,0.5779213905334473,0.5448458868171532,0.6175211545063242,0.4950780940040871,0.4772748401003946,0.36254937052726743,0.2716825306415558,0.44354337453842163,0.9436216652393341,0.9619033634662628,0.7309839129447937,10000,
000028fa8957dfb6dcad,0.7446919083595276,0.6992592647455741,0.7228889465332031,0.9453006746546593,0.7055732802959835,0.662312216883482,0.6237531764166696,0.4790532214159451,0.6975477753003647,1.1417438983917236,1.3173140287399292,1.058280702148165,10177,
000018d1dbcb4dd6d29e,0.3195732295513153,0.2709671139717102,0.3561797961592674,0.4299526111905994,0.37751589667100416,0.3078337386250496,0.2605833560228348,0.2171992063522339,0.3607546240091324,0.6051635427134378,0.7079840898513794,0.46272972226142883,10176,
0000a773a28ec049d08b,0.27430498600006104,0.2637119940349034,0.324477883227339,0.35975736379623413,0.37189994007349014,0.2805843651294708,0.23819294571876526,0.23202376365661623,0.3537665707623865,0.518377366800641,0.5104518377008045,0.3945190673289091,10353,
00008d9b9ba8a20c3395,0.5740522146224976,0.4603163301944733,0.5381688475608826,0.5545683205127716,0.4582745134830475,0.38166196644306183,0.36135431627432507,0.2759409352790478,0.41615961686424585,0.8059771196408706,0.8810175955295563,0.680349588394165,10530,
00005133936d492fa35a,0.7569711208343506,0.6293327650748008,0.7136378486951193,0.6442920441599426,0.5988557040691376,0.569568951924642,0.4725792444970485,0.3930675888669144,0.6011731500317523,0.943451037091657,1.244558572769165,0.7892920383508655,10354,
00005c59f604a3702bae,0.7820047566716821,0.6299504041671753,0.7104659080505371,0.7271343171596527,0.6284322009598913,0.5453490614891052,0.4791923102010718,0.4505579471588135,0.6142850518226624,0.9908219575881958,1.3246161937713623,0.9244037866592407,10531,
0000eef0fe6f823a274b,1.0901861190795898,1.0682346820831299,0.9657910901617693,0.9489981506439236,0.7552176273930136,0.5288960385428771,0.5858222246170044,0.29127639532089233,0.6256546795368195,1.4425246715545652,1.495442254295766,1.1017092166927582,10178,
0000c237e63006a61faf,0.879563239582798,0.6651139675184738,0.7858156461394233,0.7002725303173065,0.6506099104881287,0.5578885668862371,0.4328978657722473,0.4001788596312205,0.6470239758491516,1.2533695697784424,1.3163770006307216,0.8489167990763326,10355,
00003646b76231214880,0.8451317869302213,0.7944742851217643,0.8372622724059674,0.8305006617201498,0.7849247538766195,0.5997595143280748,0.5025760531425476,0.49088240253531246,0.7258937911395608,1.4610328376293182,1.285243136542184,0.9461951921255003,10532,
0000055324e599c650df,1.089188830214728,0.9130899098293841,1.5377737879753113,1.7350820899009705,1.423035840631948,1.2005807877656056,0.9356177449226379,0.752383722083552,1.0428078174591064,2.213680294216671,1.8391212999636555,1.2908831375365808,10356,
000076fb68d1aafb15e8,2.3217630275460177,1.8067850869197348,2.4735886255900064,2.4863120317459106,1.7765016555786133,1.4289246797561646,1.4122544527053833,1.2261195438248769,1.5467706620693207,3.719866482059607,3.093872664370177,2.201482141104928,10533,
